token_address,label,price_t0,max_price_30m,age_seconds,liquidity_usd,volume_5m,volume_1h,volume_change_1m,price_change_5m,price_change_1h,buy_pressure_5m,buy_pressure_1h,buy_sell_ratio,tx_velocity_per_hour,fdv,liq_to_mcap
HwAGqSBwhFm9MK7qe9ewukjXPQmFGoKFGPrJQyeTpump,1,9.307e-05,0.0002758,300,24414.84,63932.3,89595.74,1.5,75.69,153.0,0.5386896745689367,0.5666995318961566,1.3078673428996692,8064,93077.0,0.262307978745469
HMo1bVbAeZ28m3PUfQRuPgf5HqJEgxqt9hEsfV5Bvn7M,1,5.09e-05,0.000107,300,19574.48,87.23,87.23,1.5,1.25,1.25,0.9997500624843788,0.9997500624843788,4000.0,48,50901.0,0.3845598242753615
GSH9MAtpT84TJ7WzBMn6LCDRJYdEzsrnwwCWttmDpump,0,3.247e-05,4.34e-05,300,14291.24,9683.79,9683.79,1.5,-10.33,-10.33,0.6205509069134114,0.6205509069134114,1.635399631253841,3036,32471.0,0.44012317328929895
FNSsYaTdk2iM6D9PvEQH8icz1mxsA579CBrc6MNApump,0,2.02e-05,2.134e-05,300,11359.79,2265.63,22312.0,1.5,-10.13,-33.34,0.4687426758956891,0.5561046928965464,1.2527834469016845,768,20207.0,0.5621710020205374
cUVWU6Y1roh2wLVNywg73tMEeJjmcCo8yhFMZhUBtGC,0,6.476e-06,6.476e-06,300,6385.5,496.12,102975.87,1.5,-4.38,-82.35,0.4444320991083581,0.4456204969654427,0.8038184935161012,432,6476.0,0.9860251720158782
C3c314xn6WvuZDm35cb2g6YiRxQATBeJc71bpXUZpump,0,2.359e-06,2.604e-06,300,3919.58,98.74,219428.43,1.5,8.83,-93.6,0.10203873390338973,0.5531771343894784,1.2380233353403665,588,2359.0,1.6615423223644243
EsoJKtCgQ9SbkjBVDJBdfX9MQyszFJYprJFuYyy2pump,0,0.0001369,0.0001731,300,30442.89,7637.36,210192.29,1.5,15.16,84.87,0.7775313270235088,0.744825816310468,2.9188917371699725,5448,136965.0,0.22226765799826484
becsHPBa2f9rm7qhevDogxgnpBZnWHdh3eEa779pump,0,0.0001948,0.0001948,300,41760.98,127176.27,1282900.27,1.5,-15.25,-23.55,0.5030518888255325,0.5649086584506808,1.2983679620906599,9828,194817.0,0.21436003934790068
7XyEECBvwdoDz35cSdBtUU4tv5gBbATPEGe3DS7Lpump,0,2.405e-06,2.409e-06,300,4098.59,0.0,578.17,1.5,0.0,-11.9,0.0,0.2978660028510032,0.4242295688009455,0,2406.0,1.7034864075285088
DBT6MYpaBUYc3S7tAmVGJr8mU2wvS2tR86GDd1YWpump,0,2.082e-06,2.082e-06,300,3711.46,0.0,773.99,1.5,0.0,-19.79,0.0,0.2758573128049516,0.38094331087355066,0,2083.0,1.781785030348041
EaLmTttwPKkjLoqzkDQNxBpRF2vLcE8xvBFwJfS9pump,0,4.943e-06,5.092e-06,300,5727.88,61.3,2571.76,1.5,7.58,5.81,0.9996667777407531,0.5338937805611816,1.1454337193869202,36,4943.0,1.158785927819962
HwAGqSBwhFm9MK7qe9ewukjXPQmFGoKFGPrJQyeTpump,0,0.0002249,0.0002249,300,39027.42,63487.83,528353.67,1.5,-4.64,510.0,0.5564379070939474,0.5775092897427658,1.3669159480243915,7548,224964.0,0.17348295650200496
HMo1bVbAeZ28m3PUfQRuPgf5HqJEgxqt9hEsfV5Bvn7M,0,0.00012,0.0001545,300,30225.93,12466.81,62445.03,1.5,16.68,139.0,0.5407912802068061,0.5540281734463632,1.242294110208172,5148,120088.0,0.2516981692450689
GSH9MAtpT84TJ7WzBMn6LCDRJYdEzsrnwwCWttmDpump,1,2.876e-05,0.0001476,300,13520.89,2193.08,72814.0,1.5,6.08,-20.56,0.5432031703312304,0.5926990428919102,1.4551869632229208,972,28767.0,0.47001388848284875
FNSsYaTdk2iM6D9PvEQH8icz1mxsA579CBrc6MNApump,0,1.655e-05,1.809e-05,300,10284.14,2089.19,20049.95,1.5,15.5,-35.01,0.6025563774823399,0.5367221530656251,1.1585318758866834,936,16553.0,0.6212855300377255
BiFANQukCGDd6YKkL1H1yBbD986FHFYYA2BUHvhTpump,0,7.69e-05,7.69e-05,300,22349.52,27767.39,151275.91,1.5,9.56,110.0,0.8434499402875781,0.8507765807662669,5.701360987002117,18780,76908.0,0.2906007139621273
cUVWU6Y1roh2wLVNywg73tMEeJjmcCo8yhFMZhUBtGC,0,3.868e-06,3.868e-06,300,4946.38,156.49,21707.4,1.5,6.28,-68.03,0.19998000199980004,0.5168190450366513,1.0696179965865051,120,3868.0,1.2787949124108293
BUpme4FZPrFtkx4ggAc1AcyQt3auo4SvR3VadhUCpump,0,5.976e-05,5.976e-05,300,19426.52,1401.32,19294.78,1.5,-5.0,46.71,0.41174048585377326,0.5740244830532908,1.3475527588246412,204,59765.0,0.3250484342834697
6Rxnx68LMiuyfeRCpouJ3giG7XyEGCPUVDuBBMuhpump,1,2.814e-05,5.789e-05,300,14238.71,4488.33,19574.71,1.5,74.67,403.0,0.7070635650144947,0.5577607260636714,1.2612193419618696,1188,28142.0,0.50595940210506
C3c314xn6WvuZDm35cb2g6YiRxQATBeJc71bpXUZpump,0,2.318e-06,2.611e-06,300,3894.38,10.15,101189.89,1.5,-0.94,-96.97,0.0,0.3206629754830683,0.4720234050412428,36,2318.0,1.6800596721054044
EsoJKtCgQ9SbkjBVDJBdfX9MQyszFJYprJFuYyy2pump,0,0.0001594,0.0001785,300,33048.1,5215.65,171569.46,1.5,-11.66,-5.34,0.5603399970689907,0.7168566078302552,2.531779401019886,1392,159454.0,0.207257891258558
DBT6MYpaBUYc3S7tAmVGJr8mU2wvS2tR86GDd1YWpump,0,2.059e-06,2.059e-06,300,3698.27,0.0,30.23,1.5,0.0,-2.54,0.0,0.08332638946754438,0.0909008271975275,0,2059.0,1.7961477434930821
Gpuu6LyG8ozTbwXjW2ocU64NeW4wHU8M2hnnBcYZpump,0,2.579e-05,3.641e-05,300,12718.29,8464.37,8464.37,1.5,-26.8,-26.8,0.615382361236772,0.615382361236772,1.5999847620498853,3276,25800.0,0.4929569576373273
HwAGqSBwhFm9MK7qe9ewukjXPQmFGoKFGPrJQyeTpump,0,0.0001558,0.0001558,300,33514.87,77255.55,947898.42,1.5,-8.86,83.06,0.5564504910272359,0.5680257612668872,1.3149528613854014,5952,155828.0,0.21507604400315708
FYmauk5k5hst1TDiNKRQFJmNyLUsS3qYTdifYmKkpump,0,6.648e-05,8.87e-05,300,20478.49,13051.9,19867.89,1.5,22.47,80.79,0.5448968471492915,0.5862464029762203,1.416897417190374,5880,66487.0,0.3080074253913182
BiFANQukCGDd6YKkL1H1yBbD986FHFYYA2BUHvhTpump,0,2.603e-06,3.194e-06,300,4138.46,36.89,239869.12,1.5,-1.51,-92.9,0.33322225924691773,0.6767147373240529,2.093243384256505,36,2604.0,1.5892697429839695
cUVWU6Y1roh2wLVNywg73tMEeJjmcCo8yhFMZhUBtGC,0,3.357e-06,3.357e-06,300,4602.18,22.43,4709.15,1.5,-1.76,-5.52,0.0,0.47783015847212573,0.9150857067386157,84,3358.0,1.3705118015152467
BUpme4FZPrFtkx4ggAc1AcyQt3auo4SvR3VadhUCpump,0,4.224e-05,5.376e-05,300,16327.87,410.74,5895.73,1.5,-9.59,-31.27,0.0,0.44914873602766076,0.8153720711989045,72,42246.0,0.3864950436373848
6Rxnx68LMiuyfeRCpouJ3giG7XyEGCPUVDuBBMuhpump,0,3.771e-05,5.438e-05,300,16547.47,1801.04,59913.21,1.5,-19.44,195.0,0.5483694074384697,0.7234603378660627,2.6161178193515946,372,37711.0,0.43879689112468806
Cf6CH2ALq4Fp7aB3Q3h3vLPMpK8FKh8RfgWEaLZ8pump,0,7.356e-05,0.0001148,300,21649.34,35829.59,74397.75,1.5,39.9,100.0,0.8255807096505734,0.8012291798241066,4.03091952387727,14448,73561.0,0.2943045867469911
C3c314xn6WvuZDm35cb2g6YiRxQATBeJc71bpXUZpump,0,2.451e-06,2.451e-06,300,4004.99,24.43,286.51,1.5,-2.16,-2.29,0.0,0.083329861255781,0.0909049588655061,48,2451.0,1.6340221811415008
G3kEYbs8MgT5JZLsAstGaS6sTkccSXKvHyzZhg1Ypump,0,0.0002626,0.0002827,300,40801.98,7460.43,72417.26,1.5,-0.42,390.0,0.4472339334978216,0.4851629648056554,0.9423622071448539,2388,262652.0,0.15534616086933983
